subscription_id,account_id,start_date,end_date,plan_tier,mrr_amount,status
SUB-00001,ACC-0001,2024-03-22,2024-06-09,Starter,49.0,CANCELLED
SUB-00002,ACC-0002,2024-02-24,,Starter,44.1,ACTIVE
SUB-00003,ACC-0003,2024-01-16,,Growth,179.1,ACTIVE
SUB-00004,ACC-0004,2024-06-27,,Starter,39.2,ACTIVE
SUB-00005,ACC-0005,2024-03-17,,Enterprise,1349.1,ACTIVE
SUB-00006,ACC-0005,2024-08-18,2025-02-05,Growth,179.1,CHURNED
SUB-00007,ACC-0005,2024-12-18,2025-08-08,Starter,44.1,CHURNED
SUB-00008,ACC-0006,2024-02-12,,Enterprise,1499.0,ACTIVE
SUB-00009,ACC-0007,2024-04-10,,Starter,49.0,ACTIVE
SUB-00010,ACC-0008,2024-02-16,,Starter,44.1,ACTIVE
SUB-00011,ACC-0008,2024-05-13,2024-10-17,Enterprise,1349.1,CHURNED
SUB-00012,ACC-0009,2024-04-17,,Professional,499.0,ACTIVE
SUB-00013,ACC-0009,2024-09-19,2024-12-05,Starter,44.1,CHURNED
SUB-00014,ACC-0010,2024-01-11,2024-02-12,Starter,49.0,CANCELLED
SUB-00015,ACC-0010,2024-05-29,2024-09-21,Growth,199.0,CANCELLED
SUB-00016,ACC-0010,2024-08-11,,Growth,179.1,ACTIVE
SUB-00017,ACC-0011,2024-06-04,,Starter,49.0,ACTIVE
SUB-00018,ACC-0012,2024-03-20,,Enterprise,1349.1,ACTIVE
SUB-00019,ACC-0013,2024-06-25,,Growth,199.0,ACTIVE
SUB-00020,ACC-0014,2024-06-02,,Starter,39.2,ACTIVE
SUB-00021,ACC-0014,2024-09-14,,Enterprise,1199.2,ACTIVE
SUB-00022,ACC-0015,2024-01-04,2024-03-20,Enterprise,1349.1,CANCELLED
SUB-00023,ACC-0015,2024-05-24,2024-07-15,Enterprise,1199.2,CANCELLED
SUB-00024,ACC-0016,2024-06-15,,Professional,399.2,ACTIVE
SUB-00025,ACC-0017,2024-04-29,,Enterprise,1199.2,ACTIVE
SUB-00026,ACC-0017,2024-08-08,2025-01-30,Growth,199.0,CHURNED
SUB-00027,ACC-0018,2024-05-25,2024-08-04,Enterprise,1349.1,CANCELLED
SUB-00028,ACC-0018,2024-08-16,,Enterprise,1499.0,ACTIVE
SUB-00029,ACC-0019,2024-06-01,2024-07-25,Professional,399.2,CANCELLED
SUB-00030,ACC-0020,2024-04-14,,Enterprise,1199.2,ACTIVE
SUB-00031,ACC-0021,2024-05-05,2024-07-02,Enterprise,1499.0,CANCELLED
SUB-00032,ACC-0022,2024-03-19,,Professional,449.1,ACTIVE
SUB-00033,ACC-0022,2024-07-01,,Enterprise,1199.2,ACTIVE
SUB-00034,ACC-0023,2024-03-10,2024-06-27,Professional,449.1,CHURNED
SUB-00035,ACC-0023,2024-06-18,,Starter,39.2,ACTIVE
SUB-00036,ACC-0024,2024-02-19,,Growth,159.2,ACTIVE
SUB-00037,ACC-0024,2024-07-20,,Professional,499.0,ACTIVE
SUB-00038,ACC-0025,2024-02-15,,Professional,499.0,ACTIVE
SUB-00039,ACC-0026,2024-01-14,,Professional,399.2,ACTIVE
SUB-00040,ACC-0027,2024-05-05,,Starter,49.0,ACTIVE
SUB-00041,ACC-0027,2024-09-02,2024-11-14,Enterprise,1349.1,CHURNED
SUB-00042,ACC-0028,2024-05-02,,Starter,49.0,ACTIVE
SUB-00043,ACC-0028,2024-07-10,2024-10-20,Starter,49.0,CANCELLED
SUB-00044,ACC-0028,2024-10-16,2025-01-07,Starter,49.0,CANCELLED
SUB-00045,ACC-0029,2024-06-07,,Growth,159.2,ACTIVE
SUB-00046,ACC-0030,2024-05-30,,Enterprise,1349.1,ACTIVE
SUB-00047,ACC-0031,2024-01-26,2024-09-11,Growth,159.2,CHURNED
SUB-00048,ACC-0031,2024-04-05,2024-05-14,Growth,199.0,CANCELLED
SUB-00049,ACC-0032,2024-04-25,2024-06-30,Enterprise,1349.1,CANCELLED
SUB-00050,ACC-0033,2024-04-26,2024-08-31,Starter,39.2,CHURNED
SUB-00051,ACC-0034,2024-05-30,2024-07-27,Growth,179.1,CANCELLED
SUB-00052,ACC-0034,2024-10-19,,Growth,179.1,ACTIVE
SUB-00053,ACC-0035,2024-03-19,2024-07-15,Professional,449.1,CANCELLED
SUB-00054,ACC-0036,2024-03-10,2024-04-14,Enterprise,1349.1,CANCELLED
SUB-00055,ACC-0036,2024-08-30,2025-01-01,Enterprise,1199.2,CHURNED
SUB-00056,ACC-0037,2024-06-21,,Starter,39.2,ACTIVE
SUB-00057,ACC-0038,2024-02-14,,Enterprise,1199.2,ACTIVE
SUB-00058,ACC-0039,2024-05-29,,Enterprise,1199.2,ACTIVE
SUB-00059,ACC-0040,2024-04-14,,Professional,449.1,ACTIVE
SUB-00060,ACC-0041,2024-04-15,,Enterprise,1349.1,ACTIVE
SUB-00061,ACC-0042,2024-05-20,2024-07-21,Starter,44.1,CANCELLED
SUB-00062,ACC-0042,2024-08-29,,Starter,44.1,ACTIVE
SUB-00063,ACC-0043,2024-06-17,2024-09-21,Enterprise,1349.1,CANCELLED
SUB-00064,ACC-0043,2024-10-01,,Enterprise,1199.2,ACTIVE
SUB-00065,ACC-0043,2024-12-06,,Growth,179.1,ACTIVE
SUB-00066,ACC-0044,2024-06-27,2024-10-15,Enterprise,1499.0,CANCELLED
SUB-00067,ACC-0045,2024-02-10,2024-05-02,Professional,399.2,CANCELLED
SUB-00068,ACC-0045,2024-04-21,,Growth,199.0,ACTIVE
SUB-00069,ACC-0046,2024-02-09,2024-10-06,Enterprise,1199.2,CHURNED
SUB-00070,ACC-0046,2024-05-13,,Enterprise,1349.1,ACTIVE
SUB-00071,ACC-0047,2024-02-07,,Enterprise,1499.0,ACTIVE
SUB-00072,ACC-0048,2024-02-04,,Starter,44.1,ACTIVE
SUB-00073,ACC-0048,2024-07-22,,Enterprise,1349.1,ACTIVE
SUB-00074,ACC-0049,2024-01-01,2024-07-29,Professional,399.2,CHURNED
SUB-00075,ACC-0050,2024-05-05,,Growth,179.1,ACTIVE
SUB-00076,ACC-0050,2024-08-17,,Professional,399.2,ACTIVE
SUB-00077,ACC-0050,2024-12-03,,Enterprise,1349.1,ACTIVE
SUB-00078,ACC-0051,2024-04-08,2024-07-07,Growth,179.1,CANCELLED
SUB-00079,ACC-0052,2024-04-07,,Enterprise,1199.2,ACTIVE
SUB-00080,ACC-0052,2024-08-28,,Growth,179.1,ACTIVE
SUB-00081,ACC-0052,2024-11-12,,Professional,499.0,ACTIVE
SUB-00082,ACC-0053,2024-04-26,2024-08-17,Starter,39.2,CANCELLED
SUB-00083,ACC-0054,2024-03-08,,Professional,399.2,ACTIVE
SUB-00084,ACC-0055,2024-03-25,,Enterprise,1349.1,ACTIVE
SUB-00085,ACC-0056,2024-05-18,2024-09-05,Starter,39.2,CANCELLED
SUB-00086,ACC-0056,2024-10-12,,Professional,499.0,ACTIVE
SUB-00087,ACC-0057,2024-06-11,2024-08-18,Starter,44.1,CANCELLED
SUB-00088,ACC-0057,2024-12-03,2025-02-15,Starter,49.0,CHURNED
SUB-00089,ACC-0057,2025-03-10,,Professional,449.1,ACTIVE
SUB-00090,ACC-0058,2024-05-24,2024-09-09,Growth,199.0,CANCELLED
SUB-00091,ACC-0059,2024-06-23,,Growth,179.1,ACTIVE
SUB-00092,ACC-0060,2024-06-12,2024-08-13,Professional,449.1,CHURNED
SUB-00093,ACC-0061,2024-03-14,,Growth,199.0,ACTIVE
SUB-00094,ACC-0061,2024-06-26,,Professional,399.2,ACTIVE
SUB-00095,ACC-0062,2024-03-18,,Growth,179.1,ACTIVE
SUB-00096,ACC-0063,2024-05-26,2025-01-20,Professional,399.2,CHURNED
SUB-00097,ACC-0064,2024-06-17,2024-10-12,Enterprise,1349.1,CANCELLED
SUB-00098,ACC-0065,2024-01-13,,Enterprise,1349.1,ACTIVE
SUB-00099,ACC-0065,2024-04-11,,Professional,499.0,ACTIVE
SUB-00100,ACC-0066,2024-06-17,2024-10-05,Growth,159.2,CANCELLED
SUB-00101,ACC-0067,2024-04-22,,Starter,39.2,ACTIVE
SUB-00102,ACC-0068,2024-03-16,,Professional,399.2,ACTIVE
SUB-00103,ACC-0069,2024-05-18,,Professional,399.2,ACTIVE
SUB-00104,ACC-0070,2024-03-06,,Enterprise,1349.1,ACTIVE
SUB-00105,ACC-0070,2024-06-17,,Starter,44.1,ACTIVE
SUB-00106,ACC-0071,2024-02-27,,Enterprise,1199.2,ACTIVE
SUB-00107,ACC-0071,2024-08-06,2024-11-05,Enterprise,1499.0,CHURNED
SUB-00108,ACC-0072,2024-06-21,,Professional,399.2,ACTIVE
SUB-00109,ACC-0073,2024-01-28,2024-05-08,Growth,179.1,CANCELLED
SUB-00110,ACC-0073,2024-05-08,2024-08-05,Growth,159.2,CANCELLED
SUB-00111,ACC-0073,2024-10-31,,Professional,399.2,ACTIVE
SUB-00112,ACC-0074,2024-01-10,2024-03-10,Professional,449.1,CANCELLED
SUB-00113,ACC-0075,2024-04-09,,Enterprise,1349.1,ACTIVE
SUB-00114,ACC-0076,2024-05-18,,Enterprise,1199.2,ACTIVE
SUB-00115,ACC-0076,2024-08-05,2024-11-05,Enterprise,1199.2,CANCELLED
SUB-00116,ACC-0077,2024-03-12,,Starter,39.2,ACTIVE
SUB-00117,ACC-0078,2024-03-01,,Professional,499.0,ACTIVE
SUB-00118,ACC-0079,2024-06-14,,Professional,499.0,ACTIVE
SUB-00119,ACC-0080,2024-04-26,2024-12-05,Starter,39.2,CHURNED
SUB-00120,ACC-0080,2024-09-09,,Starter,49.0,ACTIVE
SUB-00121,ACC-0080,2024-12-09,2025-06-28,Growth,159.2,CHURNED
SUB-00122,ACC-0081,2024-02-29,,Professional,499.0,ACTIVE
SUB-00123,ACC-0082,2024-02-07,2024-05-21,Growth,159.2,CHURNED
SUB-00124,ACC-0083,2024-01-07,,Growth,199.0,ACTIVE
SUB-00125,ACC-0083,2024-06-15,2024-09-27,Growth,159.2,CHURNED
SUB-00126,ACC-0084,2024-04-17,2024-07-13,Starter,39.2,CANCELLED
SUB-00127,ACC-0085,2024-05-31,,Starter,44.1,ACTIVE
SUB-00128,ACC-0086,2024-06-17,,Professional,449.1,ACTIVE
SUB-00129,ACC-0087,2024-05-02,,Enterprise,1349.1,ACTIVE
SUB-00130,ACC-0088,2024-04-23,2024-07-29,Starter,49.0,CHURNED
SUB-00131,ACC-0088,2024-06-30,,Growth,179.1,ACTIVE
SUB-00132,ACC-0089,2024-03-24,,Enterprise,1199.2,ACTIVE
SUB-00133,ACC-0090,2024-04-20,2024-08-11,Starter,39.2,CANCELLED
SUB-00134,ACC-0091,2024-05-21,,Growth,179.1,ACTIVE
SUB-00135,ACC-0091,2024-08-18,,Enterprise,1349.1,ACTIVE
SUB-00136,ACC-0092,2024-01-25,2024-05-29,Professional,449.1,CHURNED
SUB-00137,ACC-0093,2024-06-24,2024-08-03,Enterprise,1499.0,CANCELLED
SUB-00138,ACC-0093,2024-09-03,,Enterprise,1499.0,ACTIVE
SUB-00139,ACC-0093,2024-12-19,2025-03-30,Growth,159.2,CANCELLED
SUB-00140,ACC-0094,2024-02-01,,Enterprise,1349.1,ACTIVE
SUB-00141,ACC-0095,2024-01-14,2024-04-09,Professional,399.2,CHURNED
SUB-00142,ACC-0095,2024-05-26,,Growth,199.0,ACTIVE
SUB-00143,ACC-0096,2024-03-30,,Professional,499.0,ACTIVE
SUB-00144,ACC-0096,2024-08-10,,Growth,179.1,ACTIVE
SUB-00145,ACC-0097,2024-06-06,,Starter,39.2,ACTIVE
SUB-00146,ACC-0097,2024-11-19,2025-03-18,Professional,499.0,CANCELLED
SUB-00147,ACC-0098,2024-03-27,2024-05-14,Professional,499.0,CANCELLED
SUB-00148,ACC-0099,2024-01-18,,Growth,159.2,ACTIVE
SUB-00149,ACC-0099,2024-03-21,,Starter,39.2,ACTIVE
SUB-00150,ACC-0100,2024-03-28,2024-08-18,Growth,179.1,CHURNED
SUB-00151,ACC-0101,2024-06-01,2024-09-18,Starter,49.0,CANCELLED
SUB-00152,ACC-0101,2024-08-06,,Starter,44.1,ACTIVE
SUB-00153,ACC-0101,2024-11-28,,Enterprise,1199.2,ACTIVE
SUB-00154,ACC-0102,2024-05-11,,Starter,44.1,ACTIVE
SUB-00155,ACC-0103,2024-05-31,,Enterprise,1199.2,ACTIVE
SUB-00156,ACC-0103,2024-08-04,,Growth,179.1,ACTIVE
SUB-00157,ACC-0104,2024-03-18,,Growth,199.0,ACTIVE
SUB-00158,ACC-0105,2024-01-02,,Enterprise,1199.2,ACTIVE
SUB-00159,ACC-0106,2024-06-29,,Growth,159.2,ACTIVE
SUB-00160,ACC-0107,2024-01-19,2024-02-20,Enterprise,1199.2,CANCELLED
SUB-00161,ACC-0107,2024-05-16,,Starter,44.1,ACTIVE
SUB-00162,ACC-0108,2024-06-12,2024-07-14,Enterprise,1349.1,CANCELLED
SUB-00163,ACC-0109,2024-06-07,,Enterprise,1199.2,ACTIVE
SUB-00164,ACC-0110,2024-01-28,,Growth,179.1,ACTIVE
SUB-00165,ACC-0111,2024-03-20,2024-07-01,Professional,499.0,CHURNED
SUB-00166,ACC-0112,2024-01-30,,Growth,179.1,ACTIVE
SUB-00167,ACC-0113,2024-02-07,2024-04-02,Growth,199.0,CANCELLED
SUB-00168,ACC-0113,2024-04-29,2024-08-17,Growth,159.2,CANCELLED
SUB-00169,ACC-0114,2024-05-24,,Enterprise,1199.2,ACTIVE
SUB-00170,ACC-0115,2024-06-08,2024-11-27,Professional,399.2,CHURNED
SUB-00171,ACC-0115,2024-08-15,,Enterprise,1349.1,ACTIVE
SUB-00172,ACC-0116,2024-01-15,2024-04-13,Professional,399.2,CANCELLED
SUB-00173,ACC-0117,2024-04-04,,Professional,499.0,ACTIVE
SUB-00174,ACC-0118,2024-06-01,,Enterprise,1349.1,ACTIVE
SUB-00175,ACC-0119,2024-01-11,,Enterprise,1199.2,ACTIVE
SUB-00176,ACC-0119,2024-04-21,2024-05-28,Enterprise,1199.2,CANCELLED
SUB-00177,ACC-0120,2024-03-28,,Starter,39.2,ACTIVE
SUB-00178,ACC-0001,2024-03-15,,Enterprise,CORRUPTED_VALUE_N/A,ACTIVE
SUB-00179,ACC-0002,2024-99-99,,Starter,49.0,ACTIVE
