id_servicio,id_cliente,fecha_emision,categoria_servicio,monto_facturado,estado_pago
SRV-0001,CLI-001,2025-01-15,Cloud Computing,8000.0,PAGADO
SRV-0002,CLI-002,2025-01-20,Ciberseguridad,9500.0,PAGADO
SRV-0003,CLI-003,2025-02-10,Cloud Computing,10000.0,PAGADO
SRV-0004,CLI-004,2025-02-25,Data Analytics,11500.0,PAGADO
SRV-0005,CLI-001,2025-03-12,Ciberseguridad,12000.0,PAGADO
SRV-0006,CLI-002,2025-03-28,Cloud Computing,13500.0,PAGADO
SRV-0007,CLI-003,2025-04-05,Soporte Tecnico,14000.0,PAGADO
SRV-0008,CLI-004,2025-04-18,Data Analytics,14500.0,PAGADO
SRV-0009,CLI-001,2025-05-14,Ciberseguridad,15000.0,PAGADO
SRV-0010,CLI-002,2025-05-22,Cloud Computing,16000.0,PAGADO
SRV-0011,CLI-003,2025-06-10,Data Analytics,16500.0,PAGADO
SRV-0012,CLI-004,2025-06-30,Cloud Computing,8000.0,CANCELADO
